playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SlugPct,OBP,BABIP,salary
berryse01,2000,MIL,32,46,1,7,2,0,1,2,0,1,4,13,0,0,0,0,1,0.152,0.261,0.22,0.188,2350000
betanyu01,2006,SEA,157,558,68,161,28,6,8,47,11,8,17,54,0,1,7,1,10,0.289,0.403,0.31,0.308,677500
betanyu01,2007,SEA,155,536,72,155,38,2,9,67,5,4,15,48,3,1,3,4,10,0.289,0.418,0.308,0.302,727500
betanyu01,2008,SEA,153,559,66,156,36,3,7,51,4,4,17,42,0,2,6,6,23,0.279,0.392,0.3,0.289,1550000
betanyu01,2009,SEA,63,224,15,56,10,1,2,22,3,1,10,18,0,0,8,3,9,0.25,0.33,0.278,0.261,2300000
betanyu01,2010,KCA,151,556,60,144,29,2,16,78,2,3,23,64,1,1,4,4,13,0.259,0.405,0.288,0.267,3300000
betanyu01,2011,MIL,152,556,51,140,27,3,13,68,4,4,16,63,3,2,0,10,16,0.252,0.381,0.271,0.259,4300000
betanyu01,2012,KCA,57,215,21,49,14,1,7,36,0,1,9,25,0,0,1,3,10,0.228,0.4,0.256,0.226,2000000
betanyu01,2013,MIL,137,391,35,83,15,1,13,46,0,0,14,71,3,1,0,3,9,0.212,0.355,0.24,0.226,900000
betemwi01,2008,NYA,87,189,24,50,13,0,6,25,0,1,6,56,0,1,1,1,7,0.265,0.429,0.289,0.344,1165000
betemwi01,2009,CHA,20,45,2,9,5,0,0,3,0,0,5,13,0,0,0,0,2,0.2,0.311,0.28,0.281,1300000
betemwi01,2011,KCA,57,203,29,57,15,1,3,27,3,1,20,58,6,0,0,3,6,0.281,0.409,0.341,0.372,1000000
betemwi01,2012,BAL,102,341,41,89,19,0,12,40,0,1,31,103,0,1,0,3,8,0.261,0.422,0.322,0.336,1250000
bicheda01,2000,CIN,125,461,67,136,27,2,16,76,5,2,41,69,3,4,1,7,18,0.295,0.466,0.353,0.313,7000000
bicheda01,2001,BOS,107,391,45,112,30,1,12,49,2,2,20,76,1,3,0,1,13,0.286,0.46,0.325,0.329,7000000
bigbila01,2006,SLN,17,25,2,6,1,0,0,1,0,0,3,9,0,0,0,0,1,0.24,0.28,0.321,0.375,900000
biggicr01,2000,HOU,101,377,67,101,13,5,8,35,12,2,61,73,3,16,7,5,10,0.268,0.393,0.388,0.309,6750000
biggicr01,2001,HOU,155,617,118,180,35,3,20,70,7,4,66,100,4,28,0,6,11,0.292,0.455,0.382,0.318,7750000
biggicr01,2002,HOU,145,577,96,146,36,3,15,58,16,2,50,111,2,17,9,2,15,0.253,0.404,0.33,0.289,8750000
biggicr01,2003,HOU,153,628,102,166,44,2,15,62,8,4,57,116,3,27,3,2,4,0.264,0.412,0.35,0.303,9750000
biggicr01,2004,HOU,156,633,100,178,47,0,24,63,7,2,40,94,0,15,9,3,8,0.281,0.469,0.337,0.297,3000000
